customerID,gender,SeniorCitizen,Dependents,tenure,PhoneService,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,complaints,num_complaints,payment_risk,low_engagement,support_calls,tenure_group,high_value_customer,has_complaint,has_internet,fiber_user,complaint_text_length,complaint_negative_score,complaint_negative_flag,billing_issue_flag,technical_issue_flag,service_issue_flag
5832-EXGTT,Male,0,1,29,1,0,0,Month-to-month,1,Mailed check,60.2,1834.15,0,"Hi I finished the Black Ops campaign on veteran but I didn't get the BLACK OP MASTER achievement. Please help,my gt is Tuxx lol",1,1,0,1,loyal,0,1,1,0,127,0,0,0,0,1
9402-ORRAH,Female,1,0,15,1,0,0,Month-to-month,1,Electronic check,91.5,1400.3,0,"I’ve already appealed this and was rejected. Rectify this now It looks like the driver has never cleaned that seat at all and poured a glass of water on it to claim some dough back. Filth How can charge me a £105 cleaning fee on this when it was 1) not me 2) no evidence to support that it was me? I had no food and drink, was not sick and did not do a piss out of my ass that missed all my clothes?? Shit company Still getting absolutely nowhere. It seems that uber respects the integrity of a driver who’s trying to make easy money more so than that of a paying customer. Won’t be using uber again. Shit company glad your licence is revoked meet me at one stop now I’m so hurt and upset that a customer could be treated this way!!",5,1,0,6,mid,1,1,1,1,732,0,0,1,1,1
4967-WPNCF,Male,0,0,72,0,1,1,Two year,1,Bank transfer (automatic),63.7,4464.8,0,"Astounded by the so called customer service I received yesterday. Expected a lot more from Amazon. Webchat agent with a terrible attitude, passed to supervisor who promised to email me last night - no email! Shameful!",1,0,0,1,long_term,0,1,1,0,217,1,1,0,0,1
8033-VCZGH,Male,0,0,50,1,1,0,One year,1,Electronic check,103.95,5231.3,0,No complaint recorded.,0,1,0,1,loyal,1,0,1,1,0,0,0,0,0,0
9392-XBGTD,Male,0,1,27,1,0,0,Two year,0,Mailed check,20.6,581.85,0,Eww nope.. never getting burrito again.. tortilla is nasty asf.,1,0,0,1,loyal,0,1,0,0,63,0,0,0,0,0
0078-XZMHT,Male,0,0,72,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,0,"Hifriends, once the documents are approved to be a driver, how long does it take to leave the waiting list and start driving?",1,1,0,2,long_term,1,1,1,0,125,0,0,0,1,0
0743-HNPFG,Female,0,1,51,1,0,1,One year,1,Credit card (automatic),69.75,3562.5,0,"Yes which is why I was asking at the ticket desk for help as it definitely wasn't printed. I 100% took everything that was printed from the machine. So I'm stuck in Winchester until I buy a single back to Southampton? Unless someone ""takes pity on me"" bought ticket to Winchester, on train realise only had one part of journey printed. Enquire at WCHR and am told ""maybe someone else will take pity and help you"", not the best service is it? Applemore Tesco, in Hampshire Have messaged you. not really sure my money was well spent just going through your car wash....these sadly are the after not the before pics! 😒",5,0,0,5,loyal,0,1,1,0,615,0,0,0,1,1
5334-JLAXU,Female,0,0,60,1,0,0,Month-to-month,1,Credit card (automatic),94.1,5475.9,0,can I bring a poster tube in the cabin along with my carry-on and handbag?,1,1,0,1,loyal,1,1,1,1,74,0,0,0,0,0
5696-EXCYS,Male,0,0,17,1,0,0,Two year,0,Credit card (automatic),19.45,369.05,0,"""Due to operating conditions"" my paid overnight package ordered last Tuesday from is just sitting in a location - rep just said my package ""was left in the building"" - now UPS can't tell me when it will even arrive. Happy Holidays. #UPS #Amazon",1,0,0,2,mid,0,1,0,0,244,0,0,0,1,0
2569-WGERO,Female,0,0,72,1,0,0,Two year,1,Bank transfer (automatic),21.15,1419.4,0,No complaint recorded.,0,0,0,1,long_term,0,0,0,0,0,0,0,0,0,0
5219-YIPTK,Female,0,0,33,1,1,0,Month-to-month,1,Electronic check,104.4,3409.6,1,idea 4g speed in patna is very slow compare to other network in R K Colony and bazar samiti area.,1,1,0,1,loyal,1,1,1,1,97,1,1,0,1,0
5553-AOINX,Female,1,1,66,1,1,0,One year,1,Electronic check,104.9,6891.45,0,No complaint recorded.,0,1,0,0,long_term,1,0,1,1,0,0,0,0,0,0
5502-RLUYV,Female,0,1,69,1,1,0,Month-to-month,1,Electronic check,103.95,7446.9,1,"I see. Let’s see if I️t worked. I I I I I I I I I I I I I I I I️t I️t I️t I️t I️t I️t Seems that the word that is also the name of a Stephen King smash hit that was just remade still does not work. And I tried to replace How about now. “I still haven’t seen the movie It” Aces! Hey whenever you’re able to get to fixing this I️ problem, that would be super cool. I️. I️. I️. I️. I️. I️. I️. I’ve been a customer for 17 years. Apparently I forgot to turn off “find my iPhone.” So you refused to issue me a credit. *And* you’ve kept the phone. To repeat...you have literally stolen my phone. I am filing a police report tomorrow unless you send it back. Hey I traded in my old iphone for new one. While I was overseas, you texted me that there was an issue. I missed the texts/deadline by one day and now you won’t send me back my phone. You literally have stolen my phone. This is totally f@&amp;$ed up. 😂😂😂",5,1,0,6,long_term,1,1,1,1,906,3,1,0,1,0
2058-DCJBE,Male,0,0,5,1,0,0,Month-to-month,1,Electronic check,69.75,324.6,1,No complaint recorded.,1,1,1,1,new,0,1,1,1,0,0,0,0,0,0
2293-IJWPS,Female,0,0,57,1,1,0,One year,1,Credit card (automatic),100.75,5985.0,0,Fix the I️ . I️ tried this for ten minutes.,2,1,0,3,loyal,1,1,1,1,43,0,0,0,0,0
7130-VTEWQ,Female,1,0,8,1,0,0,Month-to-month,1,Electronic check,75.75,606.25,1,"When I got the third line The Sprint store in League City TX - gulf freeway Some 17 yr old girl put one phone on a contract even though I already had 2 on a different plan and told her I didn’t want it. Now I have to pay 200 bucks to end the contract because the phone’s broken. Don’t really want to hear it again, thanks. It’s official, 20 yrs later and no missed payments but they still screw you to the wall and suck as much money as they can out of you. If you want to go totally cold and control your destiny on the web - or , take it from the wasted last 12 hrs of my life",4,1,1,4,new,0,1,1,1,578,1,1,1,1,0
0080-EMYVY,Female,0,0,14,1,0,0,One year,0,Credit card (automatic),51.45,727.85,0,No complaint recorded.,0,0,0,0,mid,0,0,1,0,0,0,0,0,0,0
0148-DCDOS,Male,0,0,25,1,0,0,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,1,"your service is beyong lousy in newark, nj!! Fix that asap and no i'm not troubleshooting it never helps 😒 my phone connection never works in this area 😩 is this supposed to be normal? So thinks its okay to fuck up and freeze during #90dayfiance this is grounds to go to verizon if this continues",3,1,0,3,loyal,1,1,1,1,296,0,0,0,1,1
9170-ARBTB,Female,0,1,52,1,0,0,One year,0,Credit card (automatic),19.6,1012.4,0,My partner's seat is sticky. This plane has been sitting at LAX for 4 hours. Did you not have time to clean it?,1,0,0,1,loyal,0,1,0,0,111,0,0,0,0,0
2070-FNEXE,Female,1,0,7,1,0,0,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1,Ban jiinsaa please he did this in MWR now this he’s boosting nobody goes 546-4 please!!!!!,1,1,1,1,new,0,1,1,1,90,0,0,0,0,0
5364-EVNIB,Male,0,0,13,1,1,0,Month-to-month,1,Electronic check,79.8,973.45,1,No complaint recorded.,0,1,0,0,mid,0,0,1,1,0,0,0,0,0,0
1112-CUNAO,Female,1,0,15,1,0,0,Month-to-month,0,Electronic check,89.85,1424.95,1,"employees at your Coon Rapids, MN location are rationing the ingredients like there is some sort of shortage. Very disappointed. Not returning.",1,1,0,1,mid,1,1,1,1,143,1,1,0,1,0
4576-CSAJH,Male,0,0,22,1,0,1,One year,1,Credit card (automatic),55.15,1193.05,1,No complaint recorded.,0,0,0,0,mid,0,0,1,0,0,0,0,0,0,0
9967-ATRFS,Female,0,0,19,1,0,0,Month-to-month,0,Mailed check,19.9,367.55,0,Just got off an overnight flight from BOS to AMS. The flight attendants yapped the ENTIRE flight. So much for getting some sleep. SMH,1,1,0,2,mid,0,1,0,0,133,0,0,0,1,0
1360-RCYRT,Male,0,1,23,0,0,1,Month-to-month,1,Bank transfer (automatic),30.35,678.75,0,No complaint recorded.,0,1,0,0,mid,0,0,1,0,0,0,0,0,0,0
5038-ETMLM,Female,0,0,72,1,1,1,Two year,1,Bank transfer (automatic),113.65,8182.75,0,we have a problem,1,1,0,1,long_term,1,1,1,1,17,1,1,0,0,0
5663-QBGIS,Male,1,0,72,1,0,0,Two year,0,Bank transfer (automatic),98.35,6929.4,0,"Good morning, i forgot my pin number🙈 how can i get the PUK",1,1,0,1,long_term,1,1,1,1,59,0,0,0,0,0
4194-WHFCB,Female,0,1,59,1,0,1,Month-to-month,1,Bank transfer (automatic),96.65,5580.8,0,"Basically having all the editing capabilities that you have on web. Creating tables, checklists, fomatting, “code boxes”, etc. For some reason it just doesn’t feel as seamless an experience. . Paper is really an amazing tool,but the mobile experience is just subpar.When can we expect a full featured version for iPad Pro?",2,1,0,2,loyal,1,1,1,1,322,0,0,0,0,0
9481-WHGWY,Female,0,1,70,1,0,1,Two year,0,Credit card (automatic),75.35,5437.75,0,is so complicated. I can't believe the amount of inconvenience that goes into the process of trying to get a new card. WORST! Shout out to for losing my bag IN THE SAME CITY I LANDED IN. BECAUSE HOW DO YOU DO THAT. IT TAKES MORE EFFORT TO LOSE THE BAG THAN TO SEND IT OUT WITH THE REST OF THE BAGS. WORK SMARTER NOT HARDER. THIS IS BOOTY. EXECUTIVE PLATINUM GOOD FOR NOTHING. Hallelujah!!!! Why is it so impossible to get in touch with,4,1,0,4,long_term,0,1,1,0,435,1,1,0,0,0
5453-YBTWV,Male,0,1,70,1,1,1,Two year,1,Credit card (automatic),101.1,6994.8,0,"I tried but it didn't work :( I feel the iphone active, it ring when somebody call, but I can't do anything. I think I need a replace it It is my work phone, and now I can`t backup my stuffs, because I did try a soft reset, no success.. Black Screen Still.. Help",2,1,0,3,long_term,1,1,1,1,262,0,0,0,1,1
2018-PZKMU,Male,0,1,9,1,1,1,Month-to-month,0,Electronic check,103.1,970.45,0,"hello my son cant play roblox on hes xbox one, some thing whit famely account, have linked a account but it dont work",1,1,1,2,new,1,1,1,1,117,0,0,0,0,0
9277-JOOMO,Female,0,0,3,1,0,0,Month-to-month,0,Mailed check,24.6,86.35,0,Why is the now app so poor on you 2nd Gen stick? Picture quality drops like every 30-45 seconds.,1,1,1,2,new,0,1,0,0,96,0,0,0,1,0
3629-ZNKXA,Male,1,0,17,1,1,0,Month-to-month,1,Electronic check,101.8,1752.45,0,"Hi, please remove Aoki's remix from the top of the ""This Is: Linkin Park"" playlist. The irony speaks for itself...",1,1,0,1,mid,1,1,1,1,114,0,0,0,0,0
0369-ZGOVK,Female,0,1,28,1,0,0,One year,1,Bank transfer (automatic),70.4,1992.2,0,Never mind. #mobile_CareXI,2,1,0,3,loyal,0,1,1,1,26,0,0,0,0,0
3604-WLABM,Female,0,0,10,1,1,1,Month-to-month,0,Electronic check,54.25,583.0,0,Haha so they serve breakfast all day but a grown ass man can’t get a Big Mac in the morning?! #Ridiculous Didn’t you get a Big Mac yesterday too?,2,1,1,2,new,0,1,1,0,145,0,0,0,0,0
4063-EIKNQ,Male,0,1,11,1,0,0,Month-to-month,0,Bank transfer (automatic),20.95,267.35,0,Best seat in the house! STL ➡️ OAK #DF17,1,1,1,1,new,0,1,0,0,40,0,0,0,0,0
2878-RMWXY,Male,1,0,72,1,1,0,Two year,1,Credit card (automatic),102.65,7550.3,0,I have a question what happen to Legion it was on FX channel on hulu and it was on my list and now it is gone? I have a question could you network add a channel Hulu The ? Just wondering when will Hulu have the full series of Blossom? could you all bring back this show season 1-6,4,1,0,4,long_term,1,1,1,1,280,0,0,0,1,0
9540-JYROE,Male,0,0,8,1,0,0,Month-to-month,1,Mailed check,70.1,551.35,1,Tesco extra Bridgend All my usual things are not available either. Agree on the bread Ian Well hope that bread does become available. I had to go to Asda for it. Thanks Well it’s not been fresh for a long time imo. The 2 I bought today were lovely &amp; soft. I do feel it won’t be sold again again in Tesco. Why have you stopped selling ‘braces bread’ pretty much only one without ‘palm oil’ everything I like gets discontinued. #fedup It’s done now but thanks 👍 Site back up but I lost my slot...Grr,5,1,1,6,new,0,1,1,1,501,0,0,0,0,0
7515-LODFU,Male,1,0,69,1,0,0,Two year,0,Credit card (automatic),20.3,1356.3,0,I was waiting for my uber n didn't come n waited 30mins n had to take a taxi home but was still charger for the full ride?!!,1,0,0,1,long_term,0,1,0,0,124,0,0,1,0,0
1839-FBNFR,Female,0,1,39,1,0,0,Two year,1,Bank transfer (automatic),19.85,854.8,0,"Let the train take the strain! After traveling this weekend with and think I’ll drive next time! Nope, despite booking a few months ago I wasn’t provided a seat booking for tonight. Great railways so popular, but need a service to match, maybe I’ve been unlucky this weekend? London to Birmingham and back, late and standing room only",3,0,0,4,loyal,0,1,0,0,334,0,0,0,0,0
5397-NSKQG,Male,0,1,67,0,0,0,Two year,0,Credit card (automatic),50.9,3281.65,0,I scratched my voucher card accident and lost the 16 digit pli help....s/no..0__credit_card__,1,0,0,1,long_term,0,1,1,0,93,0,0,0,0,1
1755-FZQEC,Male,0,0,39,1,0,0,One year,0,Mailed check,19.9,791.15,0,How this work with biz accounts?,1,0,0,2,loyal,0,1,0,0,32,0,0,0,0,0
2160-GPFXD,Male,0,1,54,1,0,1,Two year,1,Credit card (automatic),65.65,3566.7,0,Everyday after work I go into to get some jam donuts and EVERY time there is none..they informed me they stop making them at 4👍🏼,1,0,0,1,loyal,0,1,1,0,128,0,0,0,0,0
4415-IJZTP,Female,0,0,1,1,0,0,Month-to-month,1,Electronic check,74.5,74.5,1,No complaint recorded.,0,1,1,1,new,0,0,1,1,0,0,0,0,0,0
9880-TDQAC,Female,0,1,72,0,1,1,Two year,1,Electronic check,60.0,4264.0,0,Delivery services by are pathetic and degrading the customer experience. Negligent and have lost packages multiple times.,1,0,0,1,long_term,0,1,1,0,121,0,0,0,0,0
5138-WVKYJ,Male,0,0,10,1,0,0,Month-to-month,0,Electronic check,98.55,1008.55,1,When will this bug be taken care of cause like I️ really wanna see all of my letters?????? “ I️ “,1,1,1,2,new,1,1,1,1,97,0,0,0,0,0
8844-TONUD,Male,0,1,13,1,1,0,Month-to-month,1,Mailed check,96.65,1162.85,1,I was charged for a race that was canceled. It was not the cancellation fee. I got fully charged,1,1,0,2,mid,1,1,1,1,96,0,0,1,0,0
0080-OROZO,Female,0,0,35,1,1,1,One year,1,Electronic check,99.25,3532.0,0,the only ticket machine at Farnborough North is Out of Service. I can't collect my tickets bought online. Hope I won't get fined.,1,1,0,2,loyal,1,1,1,1,129,0,0,0,0,0
0953-LGOVU,Male,0,1,12,0,0,1,Month-to-month,0,Mailed check,35.5,432.25,0,flight crew out to Arizona was awesome flight crew back to Denver needs some work #needcrewreview #hatetheirjob,1,1,0,2,new,0,1,1,0,111,0,0,0,0,0
5325-UWTWJ,Male,0,0,31,1,0,1,Month-to-month,1,Credit card (automatic),90.55,2929.75,0,how come your promo code says it's valid then never grants the code for use???? Stupid!!!!,1,1,0,2,loyal,1,1,1,1,90,0,0,0,0,0
1074-AMIOH,Female,0,1,53,1,1,1,Month-to-month,1,Bank transfer (automatic),108.25,5935.1,0,Disappointed expected 8 chicken fillets and only 5 in the pack! Even Dick Turpin wore a mask!,1,1,0,1,loyal,1,1,1,1,93,1,1,0,1,0
5906-BFOZT,Male,0,0,1,1,0,0,Month-to-month,1,Mailed check,19.5,19.5,0,is there an reason why my package been sitting in Louisville for 2 days straight instead of being delivered? :(,1,1,1,2,new,0,1,0,0,111,0,0,0,0,0
7026-YMSBE,Male,0,0,30,1,0,0,One year,0,Mailed check,19.7,625.05,0,"I’ve left my iPad mini on the plane - 1st Dec 17,Flight 1447 18:15 Edinburgh to London Heathrow, Seat 27A can you help to find it?",1,0,0,2,loyal,0,1,0,0,130,0,0,0,0,1
6572-ADKRS,Female,0,0,46,1,1,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,2nd time this week my chilled chicken salad is frozen from Fleet Street branch! Aghhh!,1,1,0,2,loyal,0,1,1,1,86,0,0,0,0,0
5922-ABDVO,Female,0,0,19,1,1,0,Month-to-month,0,Mailed check,89.65,1761.05,1,American Express internal company email outlining their partnership with #Ripple #XRP.,1,1,0,1,mid,1,1,1,1,86,0,0,0,0,0
6475-VHUIZ,Female,0,0,23,1,1,1,Month-to-month,0,Electronic check,54.25,1221.55,0,"Thanks, I don't deal with companies I can't call when I need help. I'll try Lyft instead. This is an extremely frustrating process that has gotten me nowhere. I am asking to speak to someone. I need a customer support number to talk to someone about a dispute that is a month old and appears to not be resolved.",3,1,0,4,mid,0,1,1,0,311,0,0,0,1,1
1324-NLTJE,Female,1,0,15,1,0,1,Month-to-month,0,Credit card (automatic),55.0,757.1,1,No complaint recorded.,0,1,0,0,mid,0,0,1,0,0,0,0,0,0,0
4361-FEBGN,Male,0,0,48,1,0,0,Two year,0,Credit card (automatic),20.15,982.95,0,love the new safety video eating my salad and cone across this huge lump of lettuce including the stalk . 😔,2,0,0,3,loyal,0,1,0,0,107,0,0,0,0,0
8393-DLHGA,Male,0,1,25,1,0,0,Month-to-month,1,Electronic check,95.9,2448.75,1,got given a promo code for my last order being late. Tried to use it today and it’s “expired”. The email didn’t specify expiry Great I’ve responded how do I contact you as regards to my PayPal account? Can’t find an email option anywhere on the site and been going in circles!,3,1,0,3,loyal,1,1,1,1,276,0,0,0,0,0
6769-DCQLI,Male,0,0,52,1,1,1,One year,1,Bank transfer (automatic),105.0,5426.85,1,😂,1,1,0,1,loyal,1,1,1,1,1,0,0,0,0,0
3018-TFTSU,Male,0,0,12,1,1,0,Month-to-month,0,Bank transfer (automatic),81.7,858.6,1,"I'm interested in switching over to one of your plans. How do I find more information on how to do so? #insurance #consumer I have a gift card that isn't working! I just want to order some lunch to pick up later :-( help! I am SO hungry!! famished, truly. Thanks, Southwest! You're the best. Ope, I accidentally rhymed. I'm a #poet and I didn't know it. trying to find a good deal on a flight to visit my in-laws for the holidays. Where can I find your prices? #flights #Travel #holiday Family is forever! my beautiful thick wife's holiday gifts were supposed to be delivered today. Where are they? #target #christmas #blackfriday #cybermonday #haul",5,1,0,5,new,1,1,1,1,649,0,0,1,0,1
2324-AALNO,Female,0,0,48,1,0,0,One year,0,Bank transfer (automatic),24.55,1203.95,0,"Hi, I’ve opened up a case no. 00368041 and till now I’ve yet to receive a reply.",1,0,0,2,loyal,0,1,0,0,80,0,0,0,0,1
2300-RQGOI,Female,0,0,38,1,0,0,Two year,0,Mailed check,20.05,741.5,0,No complaint recorded.,0,0,0,1,loyal,0,0,0,0,0,0,0,0,0,0
6133-OZILE,Female,0,0,18,0,1,1,Month-to-month,1,Electronic check,35.2,607.3,0,No complaint recorded.,0,1,0,1,mid,0,0,1,0,0,0,0,0,0,0
7605-SNLQG,Female,0,0,45,1,1,0,Month-to-month,1,Credit card (automatic),50.25,2221.55,0,No complaint recorded.,0,1,0,0,loyal,0,0,1,0,0,0,0,0,0,0
5348-CAGXB,Male,0,0,12,1,1,0,Month-to-month,1,Electronic check,89.55,1021.75,0,Awesome thanks if I preorder cod ww2 on November 1st will I still receive the mp upgrade No the weapon unlock token and 2xp I plan on preordering through xbox store for the digital deluxe in the post match lobby I can't leave or edit anything is this a part of the interuption?,4,1,0,4,new,1,1,1,1,277,0,0,0,0,0
